Class	Value	Variable
Clitellata	-0.021779907	Residuals
Polychaeta	7.800965672	Residuals
Arachnida	-3.26761591	Residuals
Branchiopoda	-3.019835901	Residuals
Cephalocarida	-3.011326628	Residuals
Chilopoda	-3.019853609	Residuals
Collembola	-3.025504299	Residuals
Copepoda	2.902459921	Residuals
Diplopoda	-3.011184372	Residuals
Malacostraca	-4.869781611	Residuals
Merostomata	-3.01122822	Residuals
Ostracoda	-1.604099711	Residuals
Pycnogonida	-1.796296332	Residuals
Remipedia	-3.022050056	Residuals
Tantulocarida	-3.023767121	Residuals
Thecostraca	1.829685224	Residuals
Craniata	-3.011326628	Residuals
Lingulata	-3.042113972	Residuals
Rhynchonellata	-3.213000259	Residuals
Gymnolaemata	1.584091411	Residuals
Sagittoidea	-1.46307454	Residuals
Actinopterygii	0.433047715	Residuals
Ascidiacea	2.78897481	Residuals
Elasmobranchii	2.012169474	Residuals
Holocephali	-3.021577987	Residuals
Mammalia	0.146610807	Residuals
Reptilia	-0.816618121	Residuals
Anthozoa	3.381123073	Residuals
Cubozoa	-3.042534517	Residuals
Hydrozoa	5.800622103	Residuals
Scyphozoa	1.260633935	Residuals
Staurozoa	-3.025024516	Residuals
Asteroidea	3.058730954	Residuals
Crinoidea	-0.925514668	Residuals
Ophiuroidea	2.70731217	Residuals
Bivalvia	3.915866978	Residuals
Caudofoveata	-3.039829226	Residuals
Cephalopoda	2.580294233	Residuals
Monoplacophora	-3.012742411	Residuals
Polyplacophora	-2.216757029	Residuals
Scaphopoda	-3.102691796	Residuals
Solenogastres	-3.081965195	Residuals
Gastropoda	2.174559406	Residuals
Chromadorea	-2.092085205	Residuals
Enoplea	-2.355664923	Residuals
Nemertea	4.475582172	Residuals
Calcarea	-1.901903385	Residuals
Demospongiae	-1.924631685	Residuals
Hexactinellida	-3.137141921	Residuals
Eurotatoria	-2.052601146	Residuals
Eutardigrada	-3.016449545	Residuals
Clitellata	203	m1
Polychaeta	1524	m1
Arachnida	64	m1
Branchiopoda	27	m1
Cephalocarida	3	m1
Chilopoda	6	m1
Collembola	7	m1
Copepoda	734	m1
Diplopoda	3	m1
Malacostraca	5275	m1
Merostomata	4	m1
Ostracoda	104	m1
Pycnogonida	160	m1
Remipedia	17	m1
Tantulocarida	0	m1
Thecostraca	319	m1
Craniata	3	m1
Lingulata	3	m1
Rhynchonellata	37	m1
Gymnolaemata	215	m1
Sagittoidea	29	m1
Actinopterygii	9157	m1
Ascidiacea	267	m1
Elasmobranchii	761	m1
Holocephali	32	m1
Mammalia	130	m1
Reptilia	76	m1
Anthozoa	1749	m1
Cubozoa	22	m1
Hydrozoa	796	m1
Scyphozoa	67	m1
Staurozoa	24	m1
Asteroidea	422	m1
Crinoidea	137	m1
Ophiuroidea	571	m1
Bivalvia	1263	m1
Caudofoveata	18	m1
Cephalopoda	400	m1
Monoplacophora	5	m1
Polyplacophora	210	m1
Scaphopoda	14	m1
Solenogastres	12	m1
Gastropoda	4888	m1
Chromadorea	160	m1
Enoplea	30	m1
Nemertea	225	m1
Calcarea	6	m1
Demospongiae	679	m1
Hexactinellida	72	m1
Eurotatoria	21	m1
Eutardigrada	1	m1
Clitellata	10	nu1
Polychaeta	256	nu1
Arachnida	26	nu1
Branchiopoda	0	nu1
Cephalocarida	0	nu1
Chilopoda	1	nu1
Collembola	2	nu1
Copepoda	186	nu1
Diplopoda	0	nu1
Malacostraca	376	nu1
Merostomata	0	nu1
Ostracoda	47	nu1
Pycnogonida	40	nu1
Remipedia	1	nu1
Tantulocarida	2	nu1
Thecostraca	41	nu1
Craniata	0	nu1
Lingulata	5	nu1
Rhynchonellata	28	nu1
Gymnolaemata	38	nu1
Sagittoidea	14	nu1
Actinopterygii	204	nu1
Ascidiacea	34	nu1
Elasmobranchii	8	nu1
Holocephali	0	nu1
Mammalia	1	nu1
Reptilia	2	nu1
Anthozoa	163	nu1
Cubozoa	4	nu1
Hydrozoa	38	nu1
Scyphozoa	17	nu1
Staurozoa	1	nu1
Asteroidea	11	nu1
Crinoidea	8	nu1
Ophiuroidea	6	nu1
Bivalvia	201	nu1
Caudofoveata	3	nu1
Cephalopoda	6	nu1
Monoplacophora	0	nu1
Polyplacophora	11	nu1
Scaphopoda	10	nu1
Solenogastres	9	nu1
Gastropoda	183	nu1
Chromadorea	186	nu1
Enoplea	33	nu1
Nemertea	5	nu1
Calcarea	168	nu1
Demospongiae	325	nu1
Hexactinellida	12	nu1
Eurotatoria	4	nu1
Eutardigrada	1	nu1
Clitellata	974	w
Polychaeta	11901	w
Arachnida	1541	w
Branchiopoda	49	w
Cephalocarida	12	w
Chilopoda	47	w
Collembola	33	w
Copepoda	10740	w
Diplopoda	9	w
Malacostraca	32347	w
Merostomata	4	w
Ostracoda	5828	w
Pycnogonida	1345	w
Remipedia	28	w
Tantulocarida	38	w
Thecostraca	1796	w
Craniata	12	w
Lingulata	24	w
Rhynchonellata	377	w
Gymnolaemata	5604	w
Sagittoidea	132	w
Actinopterygii	16753	w
Ascidiacea	2925	w
Elasmobranchii	1223	w
Holocephali	56	w
Mammalia	134	w
Reptilia	93	w
Anthozoa	7156	w
Cubozoa	47	w
Hydrozoa	3691	w
Scyphozoa	221	w
Staurozoa	49	w
Asteroidea	1904	w
Crinoidea	671	w
Ophiuroidea	2094	w
Bivalvia	8340	w
Caudofoveata	141	w
Cephalopoda	814	w
Monoplacophora	30	w
Polyplacophora	1019	w
Scaphopoda	577	w
Solenogastres	290	w
Gastropoda	37107	w
Chromadorea	4318	w
Enoplea	1654	w
Nemertea	1270	w
Calcarea	792	w
Demospongiae	7362	w
Hexactinellida	681	w
Eurotatoria	143	w
Eutardigrada	5	w
Clitellata	-4	Fertilization
Polychaeta	0	Fertilization
Arachnida	4	Fertilization
Branchiopoda	4	Fertilization
Cephalocarida	4	Fertilization
Chilopoda	4	Fertilization
Collembola	4	Fertilization
Copepoda	4	Fertilization
Diplopoda	4	Fertilization
Malacostraca	4	Fertilization
Merostomata	-4	Fertilization
Ostracoda	4	Fertilization
Pycnogonida	-4	Fertilization
Remipedia	4	Fertilization
Tantulocarida	4	Fertilization
Thecostraca	4	Fertilization
Craniata	-4	Fertilization
Lingulata	-4	Fertilization
Rhynchonellata	-4	Fertilization
Gymnolaemata	4	Fertilization
Sagittoidea	4	Fertilization
Actinopterygii	-4	Fertilization
Ascidiacea	0	Fertilization
Elasmobranchii	4	Fertilization
Holocephali	4	Fertilization
Mammalia	4	Fertilization
Reptilia	4	Fertilization
Anthozoa	-4	Fertilization
Cubozoa	4	Fertilization
Hydrozoa	-4	Fertilization
Scyphozoa	-4	Fertilization
Staurozoa	NA	Fertilization
Asteroidea	-4	Fertilization
Crinoidea	-4	Fertilization
Ophiuroidea	-4	Fertilization
Bivalvia	-4	Fertilization
Caudofoveata	-4	Fertilization
Cephalopoda	4	Fertilization
Monoplacophora	-4	Fertilization
Polyplacophora	-4	Fertilization
Scaphopoda	-4	Fertilization
Solenogastres	4	Fertilization
Gastropoda	0	Fertilization
Chromadorea	4	Fertilization
Enoplea	4	Fertilization
Nemertea	-4	Fertilization
Calcarea	-4	Fertilization
Demospongiae	-4	Fertilization
Hexactinellida	-4	Fertilization
Eurotatoria	4	Fertilization
Eutardigrada	4	Fertilization
